"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source","Evidence"
"济南市公安局特巡警支队 无人机反制 设备项目 中标公告","公开信息未披露","公共安全/军警安防","济南市公安局特巡警支队 无人机反制 设备项目 中标公告 济南市公安局","公开信息未披露",,"公开信息未披露","2024年7月18日","B-公开转载","https://www.bidcenter.com.cn/news-298684773-4.html","济南市公安局特巡警支队 无人机反制 设备项目 中标公告 - 中标公告 -采招网 2024年7月18日 - 无人机反制 设备项目 中标公告 一、项目编号:SDGP370100000202402000544 二、项目 名称 :无人机反制设备项目 三、分包名称:无分包 无人机反制设... www.bidcenter.com.cn 反馈"
"无人机反制设备中标公告","北京","侦测反制装备","确认，本项目中标公示期满无异议的，****将被确认为中标人","公开信息未披露",,"公开信息未披露","2025年01月17日","B-公开转载","https://www.qianlima.com/bid-481110012.html","无人机反制 设备 中标公告 -千里马招标网 2025年1月17日 - 一、项目 名称 :无人机 反制 设备.结果- 中标 通知辽宁-大连发布时间:2025年01月17日... www.qianlima.com 反馈"
"无人机反制 装备 中标 结果-采招网 2023年12月22日","公开信息未披露","公共安全/军警安防","无人机反制 装备 中标 结果-采招网 2023年12月22日 无人机反制 装备 中标 结果-采招网 2023年12月22日 - 关注山亭公安分局","公开信息未披露",,"公开信息未披露","2023年12月22日","B-公开转载","https://m.bidcenter.com.cn/newsrili-4-265755663.html","无人机反制 装备 中标 结果-采招网 2023年12月22日 - 关注山亭公安分局采购 无人机 及无人机 反制 装备项目中标结果公示2024-04-29. 公告 期限: 2023年12月21日至2023年12月22日.发布 公告 的媒介:本次成交 公告 在... m.bidcenter.com.cn 反馈"
"无人机反制 系统( 中标公告","浙江","侦测反制系统/平台","...","公开信息未披露",,"公开信息未披露","2025年3月10日","B-公开转载","https://zj.bidizhaobiao.com/info-599355455.html","无人机反制 系统( 中标公告 )-浙江招标网 2025年3月10日 - 项目 名称 无人机 反制 系统 预算总额(元) 32000 项目编号 62025022634365419 报价开始时间 2025-02-26 12:22 报价截止时间 2025-03-05 18:00 采购单位 ... zj.bidizhaobiao.com 反馈"
"车载 无人机反制 系统改装 中标公告","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月3日","B-公开转载","https://www.bidcenter.com.cn/news-393042941-4.html","车载 无人机反制 系统改装 中标公告 -采招网 2025年12月3日 - 货物类 名称 :车载 无人机反制 系统改装.九、凡对本次 公告 内容提出询问,请按以下方式联系... www.bidcenter.com.cn 反馈"
"无人机反制 器项目( 中标公告","河北","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://hb.bidizhaobiao.com/info-718246332.html","无人机反制 器项目( 中标公告 )-河北招标网 2025年12月1日 - 您当天剩余次查看 公告 原文链接,是否消耗一次.监控查看企业详情已监控一键监控企业,实时掌握企业的招 中标 动态.项目编号 hbzz-bdzb-20251121 资质要求 -... hb.bidizhaobiao.com 反馈"
"东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","广东","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"深圳能源集团股份有限公司","2025年12月1日","B-公开转载","https://gd.bidizhaobiao.com/info-723547342.html","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告 )-广东招标网 2025年12月1日 - 您当天剩余次查看 公告 原文链接,是否消耗一次. 中 标 公 告 深圳能源集团股份有限公司的东部电厂固定式 无人机反制 防御系统设备采购合同寻源工作,于2025-... gd.bidizhaobiao.com 反馈"
"采购 无人机反制 设备竞价 成交公告","公开信息未披露","侦测反制装备","...","公开信息未披露",,"公开信息未披露","2025年6月8日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_dfb78bc391885e3ad7dad921b06ddd6a.html","采购 无人机反制 设备竞价 成交公告 -62025060345672978_中标公告_招标网 2025年6月8日 - 部分信息 基本信息 项目 名称 采购 无人机 反制设备 预算总额(元) * 项目编号 * 报价开始时间 ****-**-** **:** 报价截止时间 ****-**-** **:** 采购单位... rl.zhaobiao.cn 反馈"
"无人机反制 设备(中标 公告","江苏","侦测反制装备","公开信息未披露","公开信息未披露",,"江苏中瀚工程项目管理咨询有限公司","2025年12月1日","B-公开转载","https://js.bidizhaobiao.com/info-527019076.html","无人机反制 设备(中标 公告 )-江苏招标网 2025年12月1日 - 登录即可查看 2.采购代理机构信息 名称 :江苏中瀚工程项目管理咨询有限公司 地址:徐州市泉山区矿大科技园泉山科技楼南四楼 联系方式:登录即可查看 3.项... js.bidizhaobiao.com 反馈"
"无人机反制 设备采购项目中标结果 公告","山东","公共安全/军警安防","无人机反制 设备采购项目中标结果 公告 -中标 公告 -采招网 2024年12月6日 无人机反制 设备采购项目中标结果 公告 -中标 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.项目 名称 :禹城市公安局","公开信息未披露",,"山东品美信息科技有限公司","2024年12月6日","B-公开转载","https://www.bidcenter.com.cn/news-329016404-4.html","无人机反制 设备采购项目中标结果 公告 -中标 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.项目 名称 :禹城市公安局 无人机反制 设备采购项目 三、中标信息 供应商名称 :山东品美信息科技有限公司 ... www.bidcenter.com.cn 反馈"
"温州德臻招标代理有限公司关于温州市公安局无人机反制设备的中标(成交)结果公告","北京","公共安全/军警安防","温州市公安局","公开信息未披露",,"公开信息未披露","2022-08-18","B-公开转载","https://www.chinamae.com/purchases/e7900fbfeb7d187f9a7eedd91c7a77f3","...关于温州市公安局 无人机反制 设备的中标( 成交 )结果 公告 -机电设备采购平台 2022年8月18日 - 温州德臻招标代理有限公司关于温州市公安局 无人机 反制设备的中标( 成交 )结果公告.序号 中标( 成交 )金额(元) 中标 供应商 名称 中标供应商地址 .一、项目编... www.chinamae.com 反馈"
"呼和浩特市某单位 无人机反制 设备采购项目 成交公告","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"中科星图慧安科技有限公司","2025年12月15日","B-公开转载","https://www.chinabidding.cn/zbgs/U-vzeIGYx.html","呼和浩特市某单位 无人机反制 设备采购项目 成交公告 -采购与招标网(www.... 2025年12月15日 - 序号 供应商 名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 中科星图慧安科技有限公司 无人机 反制设备 理工全盛 BAT-H1030 2套 400-006-66... www.chinabidding.cn 反馈"
"固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年4月2日","B-公开转载","https://www.chinabidding.cn/zbgs/U-vzrodMB.html","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日 - 项目 名称 :固定式 无人机 反制设备采购. 成交 供应商 名称 、联系地址及 成交 金额:.固定式 无人机 反制设备采购(项目编号:400-006-6655400-006-665506720)采购已... www.chinabidding.cn 反馈"
"玛纳斯县GAJ警用无人机反制设备竞价成交公告","北京","公共安全/军警安防","信息","公开信息未披露",,"公开信息未披露","2026年04月10日","B-公开转载","https://www.qianlima.com/bid-588543827.html","玛纳斯县GAJ警用 无人机反制 设备竞价 成交公告 -千里马招标网 2026年4月10日 - 警用 无人机 反制公告招标详情. 成交 供应商 名称 、联系地址及 成交 金额:.项目 名称 :**县GAJ警用 无人机 反制设备... www.qianlima.com 反馈"
"无人机反制 设备中标结果-销邦招标平台 2026年4月1日","公开信息未披露","侦测反制服务/租赁","无人机反制 设备中标结果-销邦招标平台 2026年4月1日 无人机反制 设备中标结果-销邦招标平台 2026年4月1日 - 项目简介:关于【 无人机反制 设备采购项目】中选结果的 公告 我单位于2026-04-0109:30:00,在线上选取为【崇仁县公安局","公开信息未披露",,"公开信息未披露","2026年4月1日","B-公开转载","https://www.ixbang.com/bid/detail/3C831D33919D937FC2E8DA122B0151D4.html","无人机反制 设备中标结果-销邦招标平台 2026年4月1日 - 项目简介:关于【 无人机反制 设备采购项目】中选结果的 公告 我单位于2026-04-0109:30:00,在线上选取为【崇仁县公安局】公开选取采购服务中介服务机构,现... www.ixbang.com 反馈"
"贵阳市公安局省委办公区无人机侦测反制设备项目的中标(成交)结果公告","贵州","公共安全/军警安防","贵阳市公安局省委办公区无人机侦测反制设备项目的中标(成交)结果公告 贵阳市公安局","公开信息未披露",,"公开信息未披露","公开信息未披露","B-公开转载","http://www.zgjazb.com/zhaobiaocaigou/show-14321.html","贵阳市公安局省委办公区 无人机 侦测 反制 设备项目的中标( 成交 )结果 公告 _... 核心提示:一、项目编号:BCXZFCG2022-003G二、项目 名称 :省委办公区 无人机 侦测反制设备项目三、中标( 成交 )信息 1.中标结果:序号标项名.九、对本次 公告 内容提出询问,请按以下... www.zgjazb.com 反馈"
"无人机反制 设施检测系统项目中标 成交 结果 公告","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年7月2日","B-公开转载","https://www.bidcenter.com.cn/news-294800126-4.html","无人机反制 设施检测系统项目中标 成交 结果 公告 -采招网 2024年7月2日 - 二、项目 名称 : 无人机反制 设施检测系统项目.序号 供应商名称 供应商 地址 中标( 成交 ) 金额 评审总得分 1 天维讯达(北京) (略)实兴 (略) 15号楼1至2... www.bidcenter.com.cn 反馈"
"某单位便携式 无人机反制 枪 成交公告","公开信息未披露","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2024年12月25日","B-公开转载","https://www.bidcenter.com.cn/news-331919403-4.html","某单位便携式 无人机反制 枪 成交公告 -采招网 2024年12月25日 - 序号 供应商 名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 (略) 便携式 无人机 反制枪 详见文件 详见文件 详见文件 详见文件 五、评审专家(... www.bidcenter.com.cn 反馈"
"某单位 无人机反制 设备采购项目(中标 公告","江...","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://js.bidizhaobiao.com/info-747498015.html","某单位 无人机反制 设备采购项目(中标 公告 )-江苏招标网 2025年12月1日 - 供应商 分析报告的作用:1、帮助您分析同行或者自身的中标 金额 趋势、项目规模和报价下浮率,为企业投标、报价提供参考,让投标决策更合理;.项目所在地:江... js.bidizhaobiao.com 反馈"
"特警大队无人机反制设备采购项目成交公告","北京","公共安全/军警安防","信息","公开信息未披露",,"****","2024年04月08日","B-公开转载","https://www.qianlima.com/bid-412879753.html","特警大队 无人机反制 设备采购项目 成交公告 -千里马招标网 2024年4月8日 - 二、项目 名称 :特警大队 无人机 反制设备采购项目. 成交 金额:832000.00元 大写(捌拾叁万贰仟元整)... www.qianlima.com 反馈"
"丰林县公安局 无人机反制 装备比价比价采购 成交公告 2025年11月7日","公开信息未披露","公共安全/军警安防","丰林县公安局","公开信息未披露",,"公开信息未披露","2025年11月7日","B-公开转载","https://www.jianyu360.cn/nologin/content/ABCY1xrdikFGSg7JGd0dXUJJSQ4QCFjYXx0KTggOSEwXlVwHAFUCXE%3D.html","丰林县公安局 无人机反制 装备比价比价采购 成交公告 2025年11月7日 - 1. 供应商 需要提供相关 无人机 反制类产品相关业绩(提供证明材料或公示信息造假必追责) .采购单位:丰林县公安局 报价截止时间:2025-11-07 09:00:00 项目... www.jianyu360.cn 反馈"
"定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日","浙江","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年3月10日","B-公开转载","https://zj.bidcenter.com.cn/zbcontent-351328614-4.html","定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日 - 项目名称 无人机 反制系统 预算总额(元) (略) 项目编号 (略)19 报价开始时间 2025-02-26 12:22 报价截止时间 2025-03-05 18:00 采购单位 某单位 采购单... zj.bidcenter.com.cn 反馈"
"某部无人机反制系统建设-某部无人机反制系统建设成交结果公告","北京","侦测反制服务/租赁","支付招标代理服务费，代理服务费金额（元）：6750.00；2、公示期限：2025年11月13日至2025年11月17日；3、如对中标结果有异","公开信息未披露",,"点击查看","2025年11月12日","B-公开转载","https://www.qianlima.com/bid-552832326.html","某部 无人机反制 系统建设-某部 无人机反制 系统建设 成交 结果 公告 -千里马... 2025年11月12日 - 无人机 反制系统建设 公告 招标详情.三、中标( 成交 )供应商情况 : 1、项目编号:2025-JHDSSS-W1002;2、中标单位 名称 :****;3、中标单位地址:**市**区**庄北... www.qianlima.com 反馈"
"长沙市公安局天心分局警保卫大队关于无人机反制服务的竞价竞价成交公告","北京","侦测反制服务/租赁","信息","公开信息未披露",,"公开信息未披露","2026年01月28日","B-公开转载","https://www.chinamae.com/purchases/e6acdaa5c2b53548354b67324ab1c7e8.html","长沙市公安局天心分局警保卫大队关于 无人机反制 服务的竞价竞价 成交公告 2026年1月28日 - 序号 标的 名称 品牌 规格型号 数量 单价(元) 成交 金额(元) 报价明细 1 无人机 反制服务 - - 39天 1278.00 49842.00 需求响应: 无人机 反制服务.衡阳市南... www.chinamae.com 反馈"
"贵阳市 无人机反制 设备竞价 成交公告","贵州","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年8月12日","B-公开转载","https://gz.bidcenter.com.cn/zbcontent-373871343-4.html","贵阳市 无人机反制 设备竞价 成交公告 -贵州招标网 2025年8月12日 - 项目 名称 :无人机 反制 设备. 成交 供应商 名称 、联系地址及 成交 金额:. 无人机 反制设备 (项目编号:#40 )采购已经结束,现将采购结果公示如下:... gz.bidcenter.com.cn 反馈"
