"项目ID","省份","省内城市区域","项目名称","发包采购单位","承建中标单位","中标公告时间","年份","设备序号","设备名称","设备类型","数量","单位","品牌","规格型号","明细依据","明细置信度","来源链接"
"LA-2025-0133","浙江","柯桥","柯桥区 无人机反制设备 采购 中标 成交结果 公告","公开信息未披露","公开信息未披露","2025年11月21日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html"
"LA-2025-0134","浙江","丽水","丽水市公安局丽水机场低空防御服务项目合同","丽水市公安局","中国移动通信集团浙江有限公司丽水分公司","2025-12-11","2025","1","低空防御服务","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0135","浙江","台州","天台县公安局无人机侦测打击系统项目","天台县公安局","中国移动通信集团浙江有限公司台州分公司","2025-05-26","2025","1","无人机侦测打击系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zjtt.gov.cn/art/2025/5/26/art_1229796762_59180589.html"
"LA-2025-0136","浙江","台州","天台县公安局无人机侦测打击系统项目（第二次）","天台县公安局","中国联合网络通信有限公司台州市分公司","2025-10-10","2025","1","无人机侦测打击系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zjtt.gov.cn/art/2025/10/10/art_1229796762_59184273.html"
"LA-2025-0137","浙江","未识别","无人机反制 系统( 中标公告","...","公开信息未披露","2025年3月10日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://zj.bidizhaobiao.com/info-599355455.html"
"LA-2026-0138","浙江","普陀","舟山市公安局普陀区分局无人机低空反制设备采购合同","舟山市公安局普陀区分局","中国移动通信集团浙江有限公司舟山分公司","2026-01-23","2026","1","无人机低空反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2026-0139","重庆","南岸","2026年无人机反制设备租赁服务","公开信息未披露","中虎****公司","2026-02-06","2026","1","无人机反制设备租赁服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","项目名称披露租赁服务；具体设备数量未披露","中","https://www.falvzhaobiao.com/news-38a5efd5bedc1d00e77ff254b07f2ecb/"
"LA-2023-0140","陕西","西安","西安市公安局4G无人机侦测反制设备采购项目","西安市公安局（本级）","北京瑞达恩科技股份有限公司","2023-06-09","2023","1","无线电反制设备","侦测反制装备/设备","1","项","瑞达恩","RDN-428","陕西省政府采购网中标（成交）结果公告主要标的信息","高","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610101/gpx-bidcore/2023/6/9/8a69c9318844861201889f17dfae3f55.pdf?accessCode=cc4f1dda7e0ed63045957911cd1e5379"
"LA-2023-0141","安徽","黄山","反无人机系统设备采购项目","某部","合肥御悟信息科技有限公司","2023-11-10","2023","1","反无人机系统设备","侦测反制装备/设备","1","套","上海特金","RF-200M","黄山市公共资源交易中标结果公告主要标的信息","高","https://ggzy.huangshan.gov.cn/TPBidder/frame/fui/js/widgets/ewebeditor/uploadfile/20231110155451345.pdf"
"LA-2025-0142","宁夏","银川","银川市公安局WRJGZ装备项目","银川市公安局","杰能科世智能安全科技（杭州）有限公司","2025-07-29","2025","1","WRJGZ装备","侦测反制装备/设备","1","项","公开信息未披露","详见附件","宁夏回族自治区政府采购网中标公告披露中标供应商为杰能科世智能安全科技（杭州）有限公司；主要标的信息未细化披露","中","https://www.ccgp-ningxia.gov.cn/public/NXGPPNEW/dynamic/contents/SXCGGG/ZHBGG/content.jsp?cid=2013&id=8b80b27b9821ef38019854d615231cb9&sid=1&type=ZB"
"LA-2026-0143","内蒙古","林西","林西县公安局特种指挥车辆及无人机反制设备项目","林西县公安局","内蒙古隆昱祥科技有限公司","2026-01-06","2026","1","无人机反制设备（一）","侦测反制装备/设备","1","项","D2C JM1","TDD-DCMX1-AB-HEN2A，JM1","内蒙古政府采购中标（成交）明细披露制造商为上海特金信息科技有限公司","高","https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/ZF_JGBM_000001/150424/2025/12/8/402881e29a8668d8019afbe4c8147e19/gpx-bidconfirm/402881d29b2683a9019b924d25b44e4c.pdf?accessCode=a6f3937094db472eaad9ad6cad006eef"
"LA-2026-0143","内蒙古","林西","林西县公安局特种指挥车辆及无人机反制设备项目","林西县公安局","内蒙古隆昱祥科技有限公司","2026-01-06","2026","2","无人机反制设备（二）","侦测反制装备/设备","1","项","H1D","TDD-DCPX1-AB-HHN1A","内蒙古政府采购中标（成交）明细披露制造商为上海特金信息科技有限公司","高","https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/ZF_JGBM_000001/150424/2025/12/8/402881e29a8668d8019afbe4c8147e19/gpx-bidconfirm/402881d29b2683a9019b924d25b44e4c.pdf?accessCode=a6f3937094db472eaad9ad6cad006eef"
"LA-2025-0144","安徽","合肥","机场公安局无人机侦测反制设备采购项目","安徽省公安厅机场公安局","杰能科世智能安全科技（杭州）有限公司","2025-10-11","2025","1","车载无人机侦测解码设备","侦测探测设备","2","套","观曜科技","OMAT-AL100","安徽省政府采购网中标结果公告主要标的信息披露车载无人机侦测解码设备、品牌和型号","高","https://yzb.caigou2003.com/detail/1977004058623344640"
"LA-2025-0144","安徽","合肥","机场公安局无人机侦测反制设备采购项目","安徽省公安厅机场公安局","杰能科世智能安全科技（杭州）有限公司","2025-10-11","2025","2","车载无人机定向反制设备","侦测反制装备/设备","1","套","观曜科技","公开信息未披露","同一结果公告披露车载定向反制设备；具体型号未在公开摘要中完整展开","中","https://yzb.caigou2003.com/detail/1977004058623344640"
"LA-2025-0145","浙江","杭州","杭州市低空综合管理服务平台2.0公共安防管理端开发服务采购项目","杭州低空产业发展有限公司","浙江众合科技股份有限公司","2025-10-14","2025","1","低空综合管理服务平台2.0公共安防管理端开发服务","系统平台/管控软件","1","项服务","公开信息未披露","公开信息未披露","众合科技公开中标信息披露合同金额458万元，项目为平台公共安防管理端开发服务","高","https://www.anfangzhaobiao.com/qiye/zjzhkjgfyxgs/"
"LA-2025-0146","甘肃","兰州","甘肃省公安厅机场公安局无人机无源侦测反制系统升级及硬件设备采购项目(二次)","甘肃省公安厅机场公安局","杰能科世智能安全科技（杭州）有限公司","2025-12-17","2025","1","无人机无源侦测反制系统升级","系统平台/管控软件","1","项","公开信息未披露","公开信息未披露","结果公告标题直接披露系统升级；中标单位为杰能科世智能安全科技（杭州）有限公司","高","https://wap.tezhongzhuangbei.com/cjzb_nr_1287056.html"
"LA-2025-0146","甘肃","兰州","甘肃省公安厅机场公安局无人机无源侦测反制系统升级及硬件设备采购项目(二次)","甘肃省公安厅机场公安局","杰能科世智能安全科技（杭州）有限公司","2025-12-17","2025","2","无人机无源侦测反制硬件设备","侦测反制装备/设备","1","项","公开信息未披露","公开信息未披露","结果公告标题直接披露硬件设备采购；具体设备名在公开摘要中未完整展开","高","https://wap.tezhongzhuangbei.com/cjzb_nr_1287056.html"
"LA-2026-0147","甘肃","兰州新区","兰州新区低空飞行设施设备建设项目（低空安全监管平台项目）","兰州新区科技创新发展管理有限公司","杰能科世智能安全科技（杭州）有限公司","2026-03-25","2026","1","低空安全监管平台","系统平台/管控软件","1","项","公开信息未披露","公开信息未披露","中标候选人公示标题直接披露低空安全监管平台项目；中标单位为杰能科世智能安全科技（杭州）有限公司","高","https://www.bbda.com/bidList/k1295"
"LA-2025-0148","福建","厦门","厦门低空综合管理服务平台及一网统飞运营平台项目","厦门低空经济管理服务有限公司","中科星图股份有限公司、厦门兆翔智能科技有限公司联合体","2025-10-13","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.anfangzb.com/view/16400/J7ZW3JkBg7S5K-635DSh.html"
"LA-2025-0149","浙江","杭州临安","临安区低空综合治理应用集成（一期）项目","杭州临安智瀚大数据科技有限公司","浙江众合科技股份有限公司","2025-12-15","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://stock.stockstar.com/RB2025121800016028.shtml"
"LA-2025-0150","湖北","十堰","十堰市低空综合管理服务平台第一期建设项目","十堰产城融合投资发展集团有限公司","鸢飞科技（上海）有限公司","2025-01-20","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.hbbidcloud.cn/shiyan/jyxx/004005/004005001/20250120/d0905e3d-3bf5-4f55-9d78-409fa4bba3ad.html"
"LA-2025-0151","西藏","昌都","昌都市公安局采购低空安全反无人机系统项目","昌都市公安局","中国电信集团有限公司昌都分公司","2025-01-29","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.ccgp-xizang.gov.cn/freecms/site/xizang/ggxx/info/2025/8a7eb882948a40300194bdc599a22e17.html"
"LA-2025-0152","四川","遂宁","中国铁塔股份有限公司遂宁市分公司2025年低空安全态势感知监管平台服务与无人机监测反制设备采购项目（标段1：平台服务）","中国铁塔股份有限公司遂宁市分公司","四川泰睿通信工程有限公司","2025-12-05","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://ebid.chinatowercom.cn/zgtt/gggs/003004/20251205/5a590d57-e9d9-47f9-868e-6cb6db3f4e96.html"
"LA-2025-0153","四川","遂宁","中国铁塔股份有限公司遂宁市分公司2025年低空安全态势感知监管平台服务与无人机监测反制设备采购项目（标段2：无人机监测反制设备）","中国铁塔股份有限公司遂宁市分公司","公开信息未披露","2025-12-05","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.zchxzb.com/info/202512/7054297.html"
"LA-2026-0154","内蒙古","鄂尔多斯伊金霍洛旗","伊金霍洛旗公安局低空数字警务设备采购项目","伊金霍洛旗公安局","公开信息未披露","2026-04-14","2026","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/ZF_JGBM_000001/150627/2026/2/19/402881e29f1bab8b019f2a3a764e1b5d/gpx-bidconfirm/402881d2a2e2034d01a329e464d50142.pdf?accessCode=f9e54e286d0c95a3ed97db6c0119d409"
"LA-2026-0155","内蒙古","鄂尔多斯鄂托克旗","鄂托克旗公安局低空数字警务装备采购项目","鄂托克旗公安局","内蒙古迅力智能科技有限公司","2026-04-14","2026","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/ZF_JGBM_000001/150624/2026/2/9/402881e29e8f7417019eef0b02d114dd/gpx-bidconfirm/402881d2a2e2034d01a2ee6ee102015d.pdf?accessCode=8485d3a9c882f5d7750c2e09061f22e3"
"LA-2026-0156","内蒙古","鄂尔多斯准格尔旗","准格尔旗公安低空数字警务项目（2026年采购）","准格尔旗公安局","鄂尔多斯市低空经济开发有限公司","2026-04-09","2026","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260409_26380092.htm"
"LA-2024-0157","江西","南昌","南昌市公安局低空安全及反制设备采购项目","南昌市公安局","江西浩德实业有限公司","2024-09-12","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://ccgp-jiangxi.gov.cn/web/jyxx/002006/002006006/20240912/0ef6daf0-bd09-42e4-b230-ea89b23c316e.html"
"LA-2025-0158","广东","茂名","广东省茂名监狱低空域智能警戒巡防系统采购项目","广东省茂名监狱","中国电信股份有限公司广东分公司","2025-05-22","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://gdgpo.czt.gd.gov.cn/freecms/site/gd/ggxx/info/2025/8a7e6fc396d4b9610196e214d7bf710f.html"
"LA-2025-0159","广东","广州","广东警官学院无人机数智低空警务工程实训教学平台建设项目(二次)","广东警官学院","广州成至智能机器科技有限公司","2025-03-10","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://gdgpo.czt.gd.gov.cn/freecms/site/gd/ggxx/info/2025/8a7edac09573cf4201957ae65f634c5f.html"
"LA-2025-0160","四川","成都高新","高新公安分局2025年度低空警务实战场景应用建设项目","成都市公安局高新技术产业开发区分局","四川中移通信技术工程有限公司","2025-08-18","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://jy.scltzb.com/html/eltzb/jiaoyixinxi/jieguogonggao/1957344575933603842.html"
"LA-2025-0161","云南","昆明","昆明市公安局低空安全实战应用平台建设项目","昆明市公安局","公安部第三研究所","2025-12-29","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.bbda.com/bidDetail/db58c36bfc33d74cab3babbc5873428a962b7739ded9e70b6b12d688c0f6ad35.html"
"LA-2026-0162","重庆","江北","重庆市公安局江北区分局所需低空安全防御服务项目","重庆市公安局江北区分局","重庆晟楠科技有限公司","2026-01-07","2026","1","无人机侦测反制/低空管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","按项目类型推断服务包；具体设备未披露","低","https://www.bibenet.com/zfcg33349358.html"
"LA-2025-0163","浙江","杭州临安","杭州市临安区JW无人机低空安全保障服务项目","杭州市公安局临安区分局","杭州临安数智城市发展有限公司","2025-12-16","2025","1","无人机侦测反制/低空管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","按项目类型推断服务包；具体设备未披露","低","https://m.sohu.com/a/965769224_122434053"
"LA-2025-0164","四川","泸州泸县","泸县“蜀警飞鹰”低空警务建设项目","泸县公安局","四川中移通信技术工程有限公司","2025-12-30","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://sc.zhiliaobiaoxun.com/article/87732199"
"LA-2025-0165","福建","泉州南安","南安市低空空域智能管控系统采购项目","公开信息未披露","中国铁路通信信号股份有限公司","2025-12-26","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.crsc.cn/8961.html"
