"主需求类别","兼具需求类别","软硬件属性","分类依据","分类置信度","项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2023-0086","未识别","未识别","基站式 无人机反制 设备采购项目 中标 结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2023年2月10日","2023","A-官方公告/公共资源","待复核","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202302/t20230210_19438686.htm","基站式 无人机反制 设备采购项目 中标 结果 公告 2023年2月10日 - 二、项目 名称 :基站式 无人机反制 设备.2023年02月10日 16:14 来源:中国政府采购网 【打印】 【显示 公告 概要】... www.ccgp.gov.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0087","未识别","未识别","某单位便携式 无人机反制 枪 成交公告","侦测反制装备","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2024年12月25日","2024","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-331919403-4.html","某单位便携式 无人机反制 枪 成交公告 -采招网 2024年12月25日 - 序号 供应商 名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 (略) 便携式 无人机 反制枪 详见文件 详见文件 详见文件 详见文件 五、评审专家(... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","反制枪","便携/手持反制设备","反制枪：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","低","LA-2024-0088","未识别","未识别","特警大队无人机反制设备采购项目成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年04月08日","2024","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-412879753.html","特警大队 无人机反制 设备采购项目 成交公告 -千里马招标网 2024年4月8日 - 二、项目 名称 :特警大队 无人机 反制设备采购项目. 成交 金额:832000.00元 大写(捌拾叁万贰仟元整)... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0089","未识别","未识别","无人机反制 设备采购项目中标结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年12月6日","2024","B-公开转载/行业平台","待复核","https://m.bidcenter.com.cn/news-4-327448124.html","无人机反制 设备采购项目中标结果 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.十、凡对本次 公告 内容提出询问,请按以下方式联系... m.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0090","未识别","未识别","无人机反制 设施检测系统项目中标 成交 结果 公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年7月2日","2024","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-294800126-4.html","无人机反制 设施检测系统项目中标 成交 结果 公告 -采招网 2024年7月2日 - 二、项目 名称 : 无人机反制 设施检测系统项目.序号 供应商名称 供应商 地址 中标( 成交 ) 金额 评审总得分 1 天维讯达(北京) (略)实兴 (略) 15号楼1至2... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0091","未识别","未识别","******","侦测反制装备","中标/成交结果","是","公开信息未披露","186.0000 万元","186","公开信息未披露","2025年09月23日","2025","B-公开转载/行业平台","待复核","https://www.chinamae.com/purchases/567ae03600cb204b61a6bdc2ff593907.html","无人机 及 无人机反制 设备采购项目 中标 (成交)结果公示 2025年9月19日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.我部对 无人机 及 无人机反制 设备采购项目采购项目进行了公开招标采购... www.chinamae.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","含敏感目标或重点设施关键词","低","LA-2025-0092","未识别","未识别","•某部 无人机反制 装备采购项目 中标 结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年1月8日","2025","B-公开转载/行业平台","待复核","https://www.zhaobiaoziyuan.com/detail/677e4b19044491747fb1370a.html","•某部 无人机反制 装备采购项目 中标 结果 公告 _招标资源网 2025年1月8日 - 二、项目名称:某部 无人机 反制装备采购项目.招标资源网提供•某部 无人机反制 装备采购项目 中标 结果 公告 的项目详情,进一步了解项目详细信... 货物单价(元... www.zhaobiaoziyuan.com 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0093","未识别","未识别","采购 无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","...","公开信息未披露","","公开信息未披露","2025年6月8日","2025","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_dfb78bc391885e3ad7dad921b06ddd6a.html","采购 无人机反制 设备竞价 成交公告 -62025060345672978_中标公告_招标网 2025年6月8日 - 部分信息 基本信息 项目 名称 采购 无人机 反制设备 预算总额(元) * 项目编号 * 报价开始时间 ****-**-** **:** 报价截止时间 ****-**-** **:** 采购单位... rl.zhaobiao.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","含公安巡防/常态监管关键词","低","LA-2025-0094","未识别","未识别","车载 无人机反制 系统改装 中标公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月3日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-393042941-4.html","车载 无人机反制 系统改装 中标公告 -采招网 2025年12月3日 - 货物类 名称 :车载 无人机反制 系统改装.九、凡对本次 公告 内容提出询问,请按以下方式联系... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0095","未识别","未识别","关于无人机侦测反制设备采购项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月14日","2025","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/494886464b2e65eaeaed.html","关于 无人机 侦测 反制 设备采购项目的 成交 结果_中标-知了标讯 2025年12月14日 - 于2025-12-14发布中标 公告 -关于 无人机 侦测 反制 设备采购项目的成交结果,采购 无人机 侦测 反制 设... 序号 成交 供应商名称 成交供应商地址 成交金额 (元) 1 ... www.zhiliaobiaoxun.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制设备","侦测反制装备/设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","硬件设备/装备","含敏感目标或重点设施关键词","低","LA-2025-0124","云南","未识别","某部无人机反制装备采购项目中标公告","侦测反制装备","中标/成交结果","是","某部","46.3286 万元","46.3286","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","2025","B-公开转载/行业平台","完整","https://yn.zhiliaobiaoxun.com/article/49584401","某部 无人机反制 装备采购项目 中标公告 2025年1月8日 - 无人机反制 装备频谱探测 设备 全频全向干扰 设备 项目地区:云南 西双版纳. 中标 (成交)金额:46.3286000(万元)... yn.zhiliaobiaoxun.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[云南]","无人机反制装备","侦测探测设备","无人机反制装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","服务/租赁/咨询","含敏感目标或重点设施关键词","低","LA-2025-0097","未识别","未识别","某部无人机反制系统建设-某部无人机反制系统建设成交结果公告","侦测反制服务/租赁","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年11月12日","2025","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-552832326.html","某部 无人机反制 系统建设-某部 无人机反制 系统建设 成交 结果 公告 -千里马... 2025年11月12日 - 无人机 反制系统建设 公告 招标详情.三、中标( 成交 )供应商情况 : 1、项目编号:2025-JHDSSS-W1002;2、中标单位 名称 :****;3、中标单位地址:**市**区**庄北... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0098","未识别","未识别","无人机反制 设备第二批采购项目 中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年9月17日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/newscontent-379582703-4.html","无人机反制 设备第二批采购项目 中标 成交结果 公告 -采招网 2025年9月17日 - 序号 标项名称 标的名称 品牌 规格型号 数量 单价(元) 1 无人机反制 设备(第二批)采购项目 手持 无人机 侦测设备 锐盾 RD-H2L 4 *.序号 供应商名称 ... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0099","未识别","未识别","无人机反制器材竞价成交公告","侦测反制装备","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2025年08月14日","2025","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/article/73683688","无人机反制 器材竞价 成交公告 2025年8月14日 - 项目 名称 无人机 反制 器材.序号 成交 供应商 名称 成交供应商地址 成交 金额(元).采购单位 某单位 采购单位联系人 经办人 联系方式 公告 结束后显示... www.zhiliaobiaoxun.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制器材","侦测反制装备/设备","无人机反制器材：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0100","未识别","未识别","无人机反制枪采购项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年07月29日","2025","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-526557419.html","无人机反制 枪采购项目采购结果公示(2025-JHBDDE-W4004)-千里马招标网 2025年7月29日 - 我部对 无人机 反制枪采购项目采购项目进行了询价采购,现就供应商评审排名及预 中标 (成交)结果公示如下:. 无人机 反制枪采购项目招标 公告 (2025-JHBDDE-W400... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省","无人机反制枪","便携/手持反制设备","无人机反制枪：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0101","未识别","未识别","无人机反制设备 采购 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年6月10日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/newscontent-360279871-4.html","无人机反制设备 采购 中标公告 -采招网 2025年6月10日 - 九、凡对本次 公告 内容提出询问,请按以下方式联系。.受业主委托,中国采招网于 2025/6/10 发布 无人机反制设备 采购 中标公告 ;项目简介: 中标结果公告 一、... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0102","未识别","未识别","无人机反制系统 采购( 中标公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","待复核","https://bj.bidizhaobiao.com/info-715431177.html","无人机反制系统 采购( 中标公告 )-北京招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:北京 项目类别:物资 采购方式:公开招标 我部对 无人机反 ... bj.bidizhaobiao.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0117","新疆","乌鲁木齐","无人机反制系统采购项目","侦测反制系统/平台","中标/成交结果","是","某单位","28.8000 万元","28.8","新疆乾元商贸有限公司","2025-03-28","2025","A-官方公告/公共资源","完整","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202503/t20250328_24369730.htm","中国政府采购网中标公告披露：行政区域新疆维吾尔自治区，总中标金额28.8万元，服务名称为无人机探测防御察打一体化平台。","人工核验补充","无人机反制系统","察打一体侦测反制设备","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2026-0104","未识别","未识别","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年4月2日","2026","B-公开转载/行业平台","待复核","https://www.chinabidding.cn/zbgs/U-vzrodMB.html","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日 - 项目 名称 :固定式 无人机 反制设备采购. 成交 供应商 名称 、联系地址及 成交 金额:.固定式 无人机 反制设备采购(项目编号:400-006-6655400-006-665506720)采购已... www.chinabidding.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2026-0105","未识别","未识别","无人机 及 无人机反制设备 采购项目 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月27日","2026","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-403044302-4.html","无人机 及 无人机反制设备 采购项目 中标公告 -采招网 2026年1月27日 - 查看附件 无人机 及无人机 反制 设备采购项目采购文件.docx.通过数据统计分析,按月度提供全国近一年的采购 中标 金额的变化趋势分布情况.二、项目名称: 无人 ... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2026-0106","未识别","未识别","无人机反制 设备采购项目 中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月4日","2026","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-398309565-4.html","无人机反制 设备采购项目 中标 成交结果 公告 -采招网 2026年1月4日 - 品目编号 品目 名称 采购标的 品牌 规格型号 数量(单位) 单价(元) A* A* 无线电 反制 设备 便携式 无人机 察打一体设备 历正 潜盾W-D 1(套) * 五、评审... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0108","新疆","未识别","无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年9月11日","2024","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","无人机反制 设备竞价 成交公告 _招标日历_招标网 2024年9月11日 - 招标编号 62024081023009114 所属地区 新疆维吾尔自治区阿克苏地区发布日期 2024-09-11 截止日期 -- 采购业主 -- 招标公司 -- 联系人 -- 联系方式 -- ... rl.zhaobiao.cn 反馈","修正：原发包采购单位为“--”，规范为公开信息未披露","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0108","新疆","未识别","无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年9月11日","2024","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","无人机反制 设备竞价 成交公告 _招标日历_招标网 2024年9月11日 - 招标编号 62024081023009114 所属地区 新疆维吾尔自治区阿克苏地区发布日期 2024-09-11 截止日期 -- 采购业主 -- 招标公司 -- 联系人 -- 联系方式 -- ... rl.zhaobiao.cn 反馈","修正：原发包采购单位为“--”，规范为公开信息未披露","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2024-0109","新疆","乌什","乌什县公安局购买无人机反制装备采购项目（二次）","侦测反制装备","合同公告","是","乌什县公安局","公开信息未披露","","公开信息未披露","2024年9月27日","2024","B-公开转载/行业平台","较完整","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html","公开转载合同/结果摘要显示：乌什县公安局购买无人机反制装备采购项目（二次），公告日期2024年9月27日。","修正：原发包采购单位字段误入项目标题和转载摘要，按明确采购主体更正","无人机反制装备","侦测反制装备/设备","无人机反制装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2024-0110","新疆","新疆维吾尔自治区","某单位无人机反制系统采购项目中标公告","侦测反制系统/平台","中标/成交结果","是","某单位","32.8000 万元","32.8","星际控股集团有限公司","2024年05月28日","2024","A-官方公告/公共资源","完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202405/t20240528_22217790.htm","某单位 无人机反制 系统采购项目 中标公告 2024年5月28日 - 序号 供应商名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 星际控股集团有限公司 无人机反制 / XJ-HNTD-1、WRJG-SC06 1 328000 ... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0111","新疆","巴音郭楞","无人机反制设备采购竞价成交公告","侦测反制装备","中标/成交结果","是","新疆维吾尔自治区巴音郭楞某单位","公开信息未披露","","新疆轩志信息科技有限公司","2025年02月25日","2025","B-公开转载/行业平台","较完整","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html","无人机反制 设备采购竞价 成交公告 - 剑鱼标讯 2025年2月25日 - 无人机反制 设备采购竞价 成交公告 ,采购单位:新疆维吾尔自治区巴音郭楞某单位, 成交供应 商 :新疆轩志信息科技有限公司, 公告 日期:2025年02月25日,查看该项... www.jianyu360.cn 反馈","依据项目名/采购人/证据摘要从[北京]校正为[新疆]","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"园区运营需求","日常巡防需求","硬件设备/装备","含园区/运营/示范基地关键词；含公安巡防/常态监管关键词","高","LA-2025-0112","新疆","昌吉","无人机反制设备（第二批）采购项目中标(成交)结果公告","侦测反制装备","中标/成交结果","是","昌吉回族自治州公安局","158.7800 万元","158.78","公开信息未披露","2025年09月18日","2025","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202509/t20250918_25371641.htm","无人机反制设备 (第二批)采购项目 中标 (成交)结果 公告 2025年9月18日 - 二、项目名称: 无人机 反制设备(第二批)采购项目.序号 供应商名称 供应商地址 中标 (成交)金额 评审报价 1 江苏锐盾警用装备制造有限公司 靖江市城南园区... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0113","新疆","达坂城","达坂城区 无人机反制 系统竞价 成交公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","24.3000 万元","24.3","公开信息未披露","2025年5月23日","2025","B-公开转载/行业平台","较完整","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html","达坂城区 无人机反制 系统竞价 成交公告 -新疆招标网 2025年5月23日 - 成交供应 商名称 、联系地址及 成交金额 :.总成交金额:24.3(万元)... xj.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2025-0114","新疆","克州","克州GAJ（特警支队）无人机反制侦测相关设备采购项目","侦测反制装备","合同公告","是","克州GAJ（特警支队）","公开信息未披露","","新疆尚维飞创电子科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://xj.bidizhaobiao.com/info-599920271.html","新疆招标网转载合同摘要显示：克州GAJ（特警支队）无人机反制侦测相关设备采购项目合同，供应商为新疆尚维飞创电子科技有限公司。","修正：原发包采购单位字段误入整段合同摘要，保留可识别采购主体和供应商","手持无人机侦测设备","侦测探测设备","手持无人机侦测设备：4套","手持无人机侦测设备：RD-H2L","手持无人机侦测设备：锐盾","部分明细","证据摘要披露“手持无人机侦测设备 锐盾 RD-H2L 4”","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
